FunctionName,AppliesToStatus
ABS,ALL
ACCRINT,ALL
ACCRINTM,ALL
ACOS,ALL
ACOSH,ALL
ACOT,ALL
ACOTH,ALL
ADDCOLUMNS,ALL
ADDMISSINGITEMS,MCT
ALL,ALL
ALLCROSSFILTERED,ALL
ALLEXCEPT,MCT
ALLNOBLANKROW,ALL
ALLSELECTED,ALL
AMORDEGRC,ALL
AMORLINC,ALL
AND,ALL
APPROXIMATEDISTINCTCOUNT,MCT
ASIN,ALL
ASINH,ALL
ATAN,ALL
ATANH,ALL
AVERAGE,ALL
AVERAGEA,ALL
AVERAGEX,ALL
BETA.DIST,ALL
BETA.INV,ALL
BITAND,ALL
BITLSHIFT,ALL
BITOR,ALL
BITRSHIFT,ALL
BITXOR,ALL
BLANK,ALL
CALCULATE,ALL
CALCULATETABLE,ALL
CALENDAR,ALL
CALENDARAUTO,DISCOURAGE
CEILING,ALL
CHISQ.DIST,ALL
CHISQ.DIST.RT,ALL
CHISQ.INV,ALL
CHISQ.INV.RT,ALL
CLOSINGBALANCEMONTH,DISCOURAGE
CLOSINGBALANCEQUARTER,DISCOURAGE
CLOSINGBALANCEYEAR,DISCOURAGE
COALESCE,ALL
COLLAPSE,VC
COLLAPSEALL,VC
COLUMNSTATISTICS,DISCOURAGE
COMBIN,ALL
COMBINA,ALL
COMBINEVALUES,ALL
CONCATENATE,ALL
CONCATENATEX,ALL
CONFIDENCE.NORM,ALL
CONFIDENCE.T,ALL
CONTAINS,ALL
CONTAINSROW,ALL
CONTAINSSTRING,ALL
CONTAINSSTRINGEXACT,ALL
CONVERT,ALL
COS,ALL
COSH,ALL
COT,ALL
COTH,ALL
COUNT,ALL
COUNTA,ALL
COUNTAX,ALL
COUNTBLANK,ALL
COUNTROWS,ALL
COUNTX,ALL
COUPDAYBS,ALL
COUPDAYS,ALL
COUPDAYSNC,ALL
COUPNCD,ALL
COUPNUM,ALL
COUPPCD,ALL
CROSSFILTER,MCT
CROSSJOIN,ALL
CUMIPMT,ALL
CUMPRINC,ALL
CURRENCY,ALL
CURRENTGROUP,DISCOURAGE
CUSTOMDATA,ALL
DATATABLE,ALL
DATE,ALL
DATEADD,DISCOURAGE
DATEDIFF,ALL
DATESBETWEEN,DISCOURAGE
DATESINPERIOD,DISCOURAGE
DATESMTD,DISCOURAGE
DATESQTD,DISCOURAGE
DATESYTD,DISCOURAGE
DATEVALUE,ALL
DAY,ALL
DB,ALL
DDB,ALL
DEGREES,ALL
DETAILROWS,MCT
DISC,ALL
DISTINCT,ALL
DISTINCTCOUNT,ALL
DISTINCTCOUNTNOBLANK,ALL
DIVIDE,ALL
DOLLARDE,ALL
DOLLARFR,ALL
DURATION,ALL
EARLIER,MCT
EARLIEST,MCT
EDATE,ALL
EFFECT,ALL
ENDOFMONTH,DISCOURAGE
ENDOFQUARTER,DISCOURAGE
ENDOFYEAR,DISCOURAGE
EOMONTH,ALL
ERROR,ALL
EVALUATEANDLOG,ALL
EVEN,ALL
EXACT,ALL
EXCEPT,ALL
EXP,ALL
EXPAND,VC
EXPANDALL,VC
EXPON.DIST,ALL
FACT,ALL
FILTER,ALL
FILTERS,ALL
FIND,ALL
FIRST,VC
FIRSTDATE,DISCOURAGE
FIRSTNONBLANK,DISCOURAGE
FIRSTNONBLANKVALUE,DISCOURAGE
FIXED,ALL
FLOOR,ALL
FORMAT,ALL
FV,ALL
GCD,ALL
GENERATE,ALL
GENERATEALL,ALL
GENERATESERIES,ALL
GEOMEAN,ALL
GEOMEANX,ALL
GROUPBY,DISCOURAGE
HASONEFILTER,ALL
HASONEVALUE,ALL
HOUR,ALL
IF,ALL
IF.EAGER,ALL
IFERROR,ALL
IGNORE,MCT
INDEX,ALL
INFO.ALTERNATEOFDEFINITIONS,DISCOURAGE
INFO.ANNOTATIONS,DISCOURAGE
INFO.ATTRIBUTEHIERARCHIES,DISCOURAGE
INFO.ATTRIBUTEHIERARCHYSTORAGES,DISCOURAGE
INFO.CALCULATIONGROUPS,DISCOURAGE
INFO.CALCULATIONITEMS,DISCOURAGE
INFO.CHANGEDPROPERTIES,DISCOURAGE
INFO.COLUMNPARTITIONSTORAGES,DISCOURAGE
INFO.COLUMNPERMISSIONS,DISCOURAGE
INFO.COLUMNS,DISCOURAGE
INFO.COLUMNSTORAGES,DISCOURAGE
INFO.CULTURES,DISCOURAGE
INFO.DATACOVERAGEDEFINITIONS,DISCOURAGE
INFO.DATASOURCES,DISCOURAGE
INFO.DELTATABLEMETADATASTORAGES,DISCOURAGE
INFO.DETAILROWSDEFINITIONS,DISCOURAGE
INFO.DICTIONARYSTORAGES,DISCOURAGE
INFO.EXCLUDEDARTIFACTS,DISCOURAGE
INFO.EXPRESSIONS,DISCOURAGE
INFO.EXTENDEDPROPERTIES,DISCOURAGE
INFO.FORMATSTRINGDEFINITIONS,DISCOURAGE
INFO.FUNCTIONS,DISCOURAGE
INFO.GENERALSEGMENTMAPSEGMENTMETADATASTORAGES,DISCOURAGE
INFO.GROUPBYCOLUMNS,DISCOURAGE
INFO.HIERARCHIES,DISCOURAGE
INFO.HIERARCHYSTORAGES,DISCOURAGE
INFO.KPIS,DISCOURAGE
INFO.LEVELS,DISCOURAGE
INFO.LINGUISTICMETADATA,DISCOURAGE
INFO.MEASURES,DISCOURAGE
INFO.MODEL,DISCOURAGE
INFO.OBJECTTRANSLATIONS,DISCOURAGE
INFO.PARQUETFILESTORAGES,DISCOURAGE
INFO.PARTITIONS,DISCOURAGE
INFO.PARTITIONSTORAGES,DISCOURAGE
INFO.PERSPECTIVECOLUMNS,DISCOURAGE
INFO.PERSPECTIVEHIERARCHIES,DISCOURAGE
INFO.PERSPECTIVEMEASURES,DISCOURAGE
INFO.PERSPECTIVES,DISCOURAGE
INFO.PERSPECTIVETABLES,DISCOURAGE
INFO.QUERYGROUPS,DISCOURAGE
INFO.REFRESHPOLICIES,DISCOURAGE
INFO.RELATEDCOLUMNDETAILS,DISCOURAGE
INFO.RELATIONSHIPINDEXSTORAGES,DISCOURAGE
INFO.RELATIONSHIPS,DISCOURAGE
INFO.RELATIONSHIPSTORAGES,DISCOURAGE
INFO.ROLEMEMBERSHIPS,DISCOURAGE
INFO.ROLES,DISCOURAGE
INFO.SEGMENTMAPSTORAGES,DISCOURAGE
INFO.SEGMENTSTORAGES,DISCOURAGE
INFO.STORAGEFILES,DISCOURAGE
INFO.STORAGEFOLDERS,DISCOURAGE
INFO.TABLEPERMISSIONS,DISCOURAGE
INFO.TABLES,DISCOURAGE
INFO.TABLESTORAGES,DISCOURAGE
INFO.VARIATIONS,DISCOURAGE
INT,ALL
INTERSECT,ALL
INTRATE,ALL
IPMT,ALL
ISAFTER,ALL
ISATLEVEL,VC
ISBLANK,ALL
ISCROSSFILTERED,ALL
ISEMPTY,ALL
ISERROR,ALL
ISEVEN,ALL
ISFILTERED,ALL
ISINSCOPE,ALL
ISLOGICAL,ALL
ISNONTEXT,ALL
ISNUMBER,ALL
ISO.CEILING,ALL
ISODD,ALL
ISONORAFTER,ALL
ISPMT,ALL
ISSELECTEDMEASURE,MCT
ISSUBTOTAL,MCT
ISTEXT,ALL
KEEPFILTERS,ALL
LAST,VC
LASTDATE,DISCOURAGE
LASTNONBLANK,DISCOURAGE
